SETID,LOCATION,EFFDT,EFF_STATUS,DESCR
IND,2765,01-01-1901 00:00:00,A,DINDIGUL-PUDUKOORAIPATTI_BR
IND,3887,01-01-1903 00:00:00,A,THANE-AIROLI_BR
IND,3495,01-01-1902 00:00:00,A,RAJKOT-MARKET YARD_BR
IND,7415,01-01-1902 00:00:00,A,SURAT-KAPODARA
IND,7534,01-01-1902 00:00:00,A,VADODARA-TULSI DHAM ROAD
IND,7366,01-01-1901 00:00:00,A,PERUMBAKKAM-CHEMMENCHERRY
IND,2785,01-01-1901 00:00:00,A,CUDDALORE-CHOCKAN KOLLAI_BR
IND,3816,01-01-1901 00:00:00,A,THENI-CUMBUM_BR
IND,3239,01-01-1901 00:00:00,A,KOTTAYAM-ERATTUPETTA_BR
IND,3952,01-01-1901 00:00:00,A,BENGALURU-HOSA ROAD_BR
IND,4091,01-01-1901 00:00:00,A,KRISHNAGIRI-JAMBUKUTTAPATTI_BR
IND,3817,01-01-1901 00:00:00,A,TIRUNELVELI-KADAYANALLUR_BR
IND,2771,01-01-1901 00:00:00,A,DINDIGUL-KANAVAIPATTI_BR
IND,2730,01-01-1901 00:00:00,A,BELAGAVI-KARATGA_BR
IND,3106,01-01-1901 00:00:00,A,CHITRADURGA-KARIKERE_BR
IND,3000,01-01-1901 00:00:00,A,PUDUKOTTAI-KATTUMAVADI_BR
IND,2997,01-01-1901 00:00:00,A,MADURAI-KODIKULLAM_BR
IND,2903,01-01-1901 00:00:00,A,RAICHUR-KULENUR_BR
IND,3750,01-01-1901 00:00:00,A,KOLAR-MALLANAYAKANA HALLI_BR
IND,3235,01-01-1901 00:00:00,A,KOCHI-MARADU_BR
IND,4158,01-01-1901 00:00:00,A,RAICHUR-MASKI_BR
IND,3023,01-01-1901 00:00:00,A,THIRUVANAMALAI-MELCHENGAM_BR
IND,2902,01-01-1901 00:00:00,A,KARWAR-MIRJAN_BR
IND,3002,01-01-1901 00:00:00,A,POLLACHI-N.M. SUNGAM_BR
IND,2889,01-01-1901 00:00:00,A,BAGALKOT-NAGANUR_BR
IND,4007,01-01-1901 00:00:00,A,TRICHY-NO.1 TOLGATE-LALGUDI_BR
IND,4234,01-01-1901 00:00:00,A,COIMBATORE-PEELAMEDU_BR
IND,1853,01-01-1901 00:00:00,A,KOZHIKODE-QUILANDY_BR
IND,4139,01-01-1901 00:00:00,A,BENGALURU-SAMPIGE ROAD_BR
IND,3100,01-01-1901 00:00:00,A,RAICHUR-SASALMARI_BR
IND,4275,01-01-1901 00:00:00,A,SHIMOGA-SUGURU_BR
IND,3234,01-01-1901 00:00:00,A,TRIVANDRUM-TECHNO PARK_BR
IND,4057,01-01-1902 00:00:00,A,BULDHANA-MEHKAR_BR
IND,6412,01-01-1902 00:00:00,A,MUMBAI-DADAR (W) GOKHALE RD_BR
IND,7254,01-01-1902 00:00:00,A,GWALIOR-BHITARWAR
IND,2711,01-01-1903 00:00:00,A,AHMEDABAD-KHORAJ-SANAND_BR
IND,7484,01-01-1901 00:00:00,A,BENGALURU-CHIKPET 2
IND,4355,01-01-1901 00:00:00,A,ERNAKULAM-GOTHURUTH_BR
IND,4102,01-01-1901 00:00:00,A,CHENNAI-GUINDY_BR
IND,3104,01-01-1901 00:00:00,A,KOPPAL-HOSEKERA_BR
IND,3131,01-01-1901 00:00:00,A,BENGALURU-KALASIPALYAM_BR
IND,4105,01-01-1901 00:00:00,A,TIRUPPUR-KANGEYAM ROAD_BR
IND,KER2488,01-01-1901 00:00:00,A,CALICUT-MANKAVU
IND,4089,01-01-1901 00:00:00,A,VILUPPURAM-PUTHIRAMPATTU_BR
IND,2891,01-01-1901 00:00:00,A,BELAGAVI-SANGANAKERI_BR
IND,2892,01-01-1901 00:00:00,A,BELAGAVI-SANKONATTI_BR
IND,3535,01-01-1901 00:00:00,A,CHENNAI-SANTOSHPURAM_BR
IND,2996,01-01-1901 00:00:00,A,KARUR-SINDHALAVADI_BR
IND,7378,01-01-1901 00:00:00,A,BELLARY[R]-SIRIGERI CROSS
IND,7636,01-01-1901 00:00:00,A,NAGAPATTINAM-THANDAVANKULAM
IND,2769,01-01-1901 00:00:00,A,TIRUCHIRAPALLI-THENUR_BR
IND,2998,01-01-1901 00:00:00,A,MADURAI-THIRUVEDAGAM_BR
IND,3965,01-01-1901 00:00:00,A,TRICHY-THURAIYUR_BR
IND,3966,01-01-1901 00:00:00,A,THIRUVARUR-TIRUTURAIPUNDI_BR
IND,3038,01-01-1901 00:00:00,A,TIRUCHIRAPPALLI-UNNIYUR_BR
IND,3006,01-01-1901 00:00:00,A,RAMANATHAPURAM-UPPUR_BR
IND,6180,01-01-1901 00:00:00,A,VELLAUR-VELLALORE - MELUR_BR
IND,2288,01-01-1901 00:00:00,A,VILLUPURAM-VENGUR_BR
IND,4332,01-01-1901 00:00:00,A,COIMBATORE-VILANKURUCHI_BR
IND,7368,01-01-1901 00:00:00,A,VILLIANUR TALUK-VILLIANUR
IND,4085,01-01-1901 00:00:00,A,BELLARY-YARRINGALIGI_BR
IND,7229,01-01-1902 00:00:00,A,COCHIN-INFOPARK_PHASE2_BR
IND,7379,01-01-1902 00:00:00,A,RAICHUR-GOOGAL VILLAGE
IND,2793,01-01-1902 00:00:00,A,BENGALURU-HOSKOTE - FY14-Q2-BR
IND,AHM0625,01-01-1902 00:00:00,A,AHMADABAD-CHANDKHEDA
IND,3363,01-01-1902 00:00:00,A,PUNE-DHANGE CHOWK WAKAD_BR
IND,1199,01-01-1902 00:00:00,A,MUMBAI-MULUND W VASANT GARDEN
IND,4004,01-01-1901 00:00:00,A,TRICHY-KATTUR_BR
IND,2816,01-01-1901 00:00:00,A,HAVERI-RANNIBENNUR P-525 - 7
IND,1016,01-01-1902 00:00:00,A,MUMBAI-BORIVALI W S V ROAD_BR
IND,4312,01-01-1902 00:00:00,A,VADODARA-MAKARPURA VADODARA_BR
IND,3174,01-01-1901 00:00:00,A,BENGALURU-DODDABALLAPUR_BR
IND,3995,01-01-1901 00:00:00,A,CHENNAI-M. G. ROAD_BR
IND,3644,01-01-1901 00:00:00,A,BELLARY-SIRUGUPPA_BR
IND,4189,01-01-1901 00:00:00,A,KANNIYAKUMARI-KULASEKARAM_BR
IND,7210,01-01-1901 00:00:00,A,KANNIYAKUMARI-ANJUGRAMMAM
IND,3014,01-01-1901 00:00:00,A,JAMKHANDI-CHIKALI CROSS_BR
IND,4125,01-01-1901 00:00:00,A,GULBARGA-CHITTAPUR_BR
IND,3168,01-01-1901 00:00:00,A,BENGALURU-HSR LAYOUT_BR
IND,4134,01-01-1901 00:00:00,A,GULBARGA-JEVARGI_BR
IND,2666,01-01-1901 00:00:00,A,MALAPPURAM-KONDOTTI_BR
IND,4239,01-01-1901 00:00:00,A,TRICHY-KOPPU NORTH_BR
IND,4191,01-01-1901 00:00:00,A,VELLORE-MANIYAMBATTU_BR
IND,3437,01-01-1901 00:00:00,A,BENGALURU-MARGOSA ROAD_BR
IND,2038,01-01-1903 00:00:00,A,TIRODA-TIRORA_BRANCH
IND,3820,01-01-1901 00:00:00,A,TANJORE-PERAVURANI_BR
IND,2890,01-01-1901 00:00:00,A,BELAGAVI-REDDARHATTI_BR
IND,7294,01-01-1903 00:00:00,A,PUNE-SHIVANE
IND,3841,01-01-1901 00:00:00,A,SHIMOGA-SAGAR_BR
IND,3024,01-01-1903 00:00:00,A,MAHESANA-BADARPUR_BR
IND,2893,01-01-1901 00:00:00,A,CHIKKAMAGALURU-SINDHGERE_BR
IND,2922,01-01-1903 00:00:00,A,BULDHANA-BHALEGAON_BR
IND,3960,01-01-1901 00:00:00,A,VILLUPURAM-THIRUKOILUR_BR
IND,2737,01-01-1903 00:00:00,A,UJJAIN-BHUWASA_BR
IND,BAN0169,01-01-1901 00:00:00,A,BANGALORE-INDIRANAGAR
IND,7284,01-01-1901 00:00:00,A,COIMBATORE-KALAPATTI
IND,3442,01-01-1901 00:00:00,A,BENGALURU-EMBASSY GOLF LINK_BR
IND,3169,01-01-1901 00:00:00,A,BENGALURU-BOMMASANDRA_BR
IND,7228,01-01-1901 00:00:00,A,BENGALURU-ULLAL
IND,2107,01-01-1901 00:00:00,A,PATHAMTHITTA-PANDALAM_BRANCH
IND,2277,01-01-1901 00:00:00,A,NAGAPATTINAM-ANAIMELAGARAM_BR
IND,2282,01-01-1901 00:00:00,A,TIRUVARUR-ARASAVANANGADU_BR
IND,4096,01-01-1903 00:00:00,A,BHOPAL-PEOPLES MALL_BR
IND,1235,01-01-1903 00:00:00,A,MUMBAI-DAHISAR WEST_BR
IND,2280,01-01-1901 00:00:00,A,THIRUVANNAMALAI-PATTIYANDAL_BR
IND,6419,01-01-1903 00:00:00,A,MUMBAI-MALAD E SUBHAS LANE_BR
IND,4130,01-01-1903 00:00:00,A,HARDA-ALAMPUR_BR
IND,4310,01-01-1901 00:00:00,A,BENGALURU-SUBRAMANYA NAGAR_BR
IND,2736,01-01-1903 00:00:00,A,NEEMUCH-BHATKHEDI_BR
IND,2873,01-01-1903 00:00:00,A,MAHUVA-BILA_BR
IND,3033,01-01-1901 00:00:00,A,THIRUPUR-VAVIPALAYAM_BR
IND,2237,01-01-1903 00:00:00,A,DAHOD-BORDI INAMI_BR
IND,2874,01-01-1903 00:00:00,A,BHAVNAGAR-CHAPARYALI_BR
IND,2926,01-01-1903 00:00:00,A,JALGAON-CHINCHKHEDA_BR
IND,2743,01-01-1903 00:00:00,A,AHMEDNAGAR-CHOUBEWADI_BR
IND,2267,01-01-1903 00:00:00,A,RATNAGIRI-DAHIWALI BK_BR
IND,2253,01-01-1903 00:00:00,A,VADODARA-DHANTEJ_BR
IND,4269,01-01-1903 00:00:00,A,GUNA-DUNGASARA_BR
IND,3096,01-01-1903 00:00:00,A,SABARKANTHA-GADHA_BR
IND,2883,01-01-1903 00:00:00,A,JUNAGADH-GADODAR_BR
IND,2734,01-01-1903 00:00:00,A,HARDA-GONDAGAON KALA_BR
IND,2255,01-01-1903 00:00:00,A,VADODARA-GOTHADA_BR
IND,2290,01-01-1903 00:00:00,A,DHAR-GYANPURA_BR
IND,3082,01-01-1903 00:00:00,A,SURENDRANAGAR-HARIPAR_BR
IND,7312,01-01-1901 00:00:00,A,"CHENNAI-RANGAN STREET, T NAGAR"
IND,2124,01-01-1901 00:00:00,A,KOTTAYAM-ETTUMANOOR_BR
IND,4121,01-01-1901 00:00:00,A,CHENNAI-BROADWAY_BR
IND,3015,01-01-1901 00:00:00,A,UTTARA KANNADA-HIREGUTTI_BR
IND,7289,01-01-1901 00:00:00,A,MADURAI-IYER BANGALOW
IND,3541,01-01-1901 00:00:00,A,TANJORE-KANDAMANGALAM_BR
IND,2669,01-01-1901 00:00:00,A,TRIVANDRUM-KATTAKKADA_BR
IND,2992,01-01-1901 00:00:00,A,ERODE-KOMAL_BR
IND,4044,01-01-1901 00:00:00,A,MADURAI-KOODAL NAGAR_BR
IND,3839,01-01-1901 00:00:00,A,RAICHUR-LINGASUGUR_BR
IND,2351,01-01-1901 00:00:00,A,CHENNAI-NORTH BOAG RD_BR
IND,3961,01-01-1901 00:00:00,A,DINDIGUL-ODDANCHATRAM_BR
IND,2766,01-01-1901 00:00:00,A,RAMANATHAPURAM-THERBOGI_BR
IND,2901,01-01-1901 00:00:00,A,HAVERI-UPPUNASI-BR
IND,2696,01-01-1902 00:00:00,A,CHENNAI-PORUR-KUNDRATHUR ROAD
IND,2261,01-01-1903 00:00:00,A,KOLHAPUR-HARSURCHAMPU_BR
IND,3094,01-01-1903 00:00:00,A,KHEDA-HERANJ_BR
IND,2262,01-01-1903 00:00:00,A,KOLHAPUR-HITANI_BR
IND,4313,01-01-1903 00:00:00,A,AMRELI-JAFRABAD_BR
IND,3126,01-01-1903 00:00:00,A,SANGLI-JAMBHULNI_BR
IND,2879,01-01-1903 00:00:00,A,JAMNAGAR-JAMBUDA_BR
IND,2010,01-01-1903 00:00:00,A,AHMEDNAGAR-JAMKHED_BRANCH
IND,2744,01-01-1903 00:00:00,A,AHMEDNAGAR-JAVALKE_BR
IND,7542,01-01-1901 00:00:00,A,BANGALORE-HORAMAVU
IND,TRI0180,01-01-1901 00:00:00,A,THRISSUR - SHORNUR ROAD_RO
IND,VIL6213,01-01-1901 00:00:00,A,VILLUPPURAM - NEHRU ROAD_BR
IND,BAN3696,01-01-1901 00:00:00,A,BLR-WHITEFIELD THUBARAHALLI_BR
IND,BAN0047,01-01-1901 00:00:00,A,BENGALURU - KORAMANGALA
IND,BAN3132,01-01-1901 00:00:00,A,BLR-ELECTRONIC CITY PH-II_BR
IND,1156,01-01-1901 00:00:00,A,KURNAD -MUDIPU POST
IND,4311,01-01-1902 00:00:00,A,KOLHAPUR-MAHADWAR ROAD_BR
IND,MUM0028,01-01-1902 00:00:00,A,MUMBAI-BHAYENDER
IND,6427,01-01-1902 00:00:00,A,MUMBAI-ANDHERI (E) SAHAR RD_BR
IND,539,01-01-1903 00:00:00,A,MUMBAI-KANDIVILI W MODI RD_BR
IND,1960,01-01-1902 00:00:00,A,MUMBAI-KANDIVALI-W LINK ROAD
IND,7424,01-01-1902 00:00:00,A,AMBIVALI-TITWALA
IND,2748,01-01-1902 00:00:00,A,SANGLI-KHATAV_BR
IND,3042,01-01-1901 00:00:00,A,GINGI-MODAIYUR-SATELLITE_BR
IND,1218,01-01-1903 00:00:00,A,MUMBAI-BORIVALI W -GORAI 2_BR
IND,2256,01-01-1903 00:00:00,A,VADODARA-MEVLI_BR
IND,2148,01-01-1903 00:00:00,A,DIST. DHULE-DONDIACHA_BR
IND,7499,01-01-1903 00:00:00,A,NAGPUR-MANISH NAGAR
IND,3455,01-01-1903 00:00:00,A,NASIK-ADGAON NAKA_BR
IND,2260,01-01-1903 00:00:00,A,KOLHAPUR-ALAS_BR
IND,3037,01-01-1903 00:00:00,A,SHAJAPUR-ALAUMROD_BR
IND,3413,01-01-1903 00:00:00,A,KACHCHH-ANJAR_BR
IND,2273,01-01-1903 00:00:00,A,SOLAPUR-ARLI_BR
IND,2025,01-01-1903 00:00:00,A,LATUR-AUSA_BRANCH
IND,4126,01-01-1901 00:00:00,A,NAMAKKAL-VELUR_BR
IND,3019,01-01-1903 00:00:00,A,SOLAPUR-DAHIGAON_BR
IND,2241,01-01-1903 00:00:00,A,DAHOD-DASLA_BR
IND,2917,01-01-1903 00:00:00,A,NARSIMHAPUR-DHAMNA_BR
IND,7581,01-01-1903 00:00:00,A,RAHEJ-GANDEVI
IND,4099,01-01-1903 00:00:00,A,INDORE-GHATA BILLOD_BR
IND,3357,01-01-1903 00:00:00,A,NORTH GOA-GOLTIM_BR
IND,3112,01-01-1903 00:00:00,A,HOSHANGABAD-GUNORA_BR
IND,4293,01-01-1903 00:00:00,A,GWALIOR-GWALIOR BAHODAPUR_BR
IND,7429,01-01-1901 00:00:00,A,BENGALURU-TIPPASANDRA
IND,3005,01-01-1901 00:00:00,A,RAMAND-KANGIRAN GUDI_BR
IND,209,01-01-1902 00:00:00,A,MUMBAI-SANTACRUZ LINKING RD_BR
IND,1032,01-01-1902 00:00:00,A,MUMBAI-KANDVLI E CENTRUM MALL
IND,BAN0937,01-01-1901 00:00:00,A,BANGALORE-NEW BEL ROAD
IND,2636,01-01-1901 00:00:00,A,KOLLAM-KOTTIYAM_BR
