SETID,SAL_ADMIN_PLAN,GRADE,EFFDT,EFF_STATUS,DESCR,DESCRSHORT
ZAF,ZAF,10,01-01-1900 00:00:00,A,SENIOR OFFICER,SO
BHR,BHR,10,01-01-1900 00:00:00,A,GCC - 1 B,GCC1B
QAT,QAT,10,01-01-1900 00:00:00,A,GCC - 1 B,GCC1B
UAE,UAE,10,01-01-1900 00:00:00,A,GCC - 1 B,GCC1B
CAN,CAN,10,01-01-1900 00:00:00,A,CAN - 1 B,CAN1B
USA,USA,10,01-01-1900 00:00:00,A,SENIOR OFFICER,SO
IND,IND,10,01-01-1900 00:00:00,A,IFBI-TRAINEE,IFBIT
IND,IND,100,01-01-1900 00:00:00,A,S1,S1
IND,IND,110,01-01-1900 00:00:00,A,PHONE BKG CONSULTANT,PBC
IND,IND,12,01-01-1900 00:00:00,A,SENIOR OFFICER TRAINEE,SROT
USA,USA,12,01-01-1900 00:00:00,A,ASSISTANT MANAGER-I,AMI
IND,IND,120,01-01-1900 00:00:00,A,S2,S2
IND,IND,125,01-01-1900 00:00:00,A,FOUNDATION OF BANKING TRAINEE,FOBT
USA,USA,13,01-01-1900 00:00:00,A,ASSISTANT MANAGER-II,AMII
IND,IND,130,01-01-1900 00:00:00,A,CLERK,CLERK
IND,IND,135,01-01-1900 00:00:00,A,JUNIOR OFFICER â€“ TRAINEE,JOT
IND,IND,138,01-01-1900 00:00:00,A,SALES OFFICER TRAINEE,SOT
IND,IND,140,01-01-1900 00:00:00,A,SECRETARY,SEC
IND,IND,145,01-01-1900 00:00:00,A,JUNIOR OFFICER,JO
IND,IND,146,01-01-1900 00:00:00,A,DEVELOPMENT OFFICER,DO
IND,IND,147,01-01-1900 00:00:00,A,DEVELOPMENT OFFICER I,DO - I
CHN,CHN,15,01-01-1900 00:00:00,A,ASSISTANT MANAGER-I,AMI
BGD,BGD,15,01-01-1900 00:00:00,A,ASSISTANT MANAGER-I,AMI
HKG,HKG,15,01-01-1900 00:00:00,A,ASSISTANT MANAGER-I,AMI
LKA,LKA,15,01-02-1900 00:00:00,A,SENIOR OFFICER,SL1B
IND,CAT,15,01-01-1900 00:00:00,A,Sales Cordinator2,SC2
BEL,BEL,15,01-01-2000 00:00:00,A,UK - E2,UKE2
DEU,DEU,15,01-01-1900 00:00:00,A,UK - E2,UKE2
LKA,LKA,15,01-01-1900 00:00:00,A,SL - 1 B,SL1B
SGP,SGP,15,01-01-1900 00:00:00,A,ASSISTANT MANAGER-I,AMI
RUS,RUS,15,01-01-1900 00:00:00,A,RUS - E 2,RUSE2
GBR,GBR,15,01-01-1900 00:00:00,A,UK - E2,UKE2
USA,USA,15,01-01-1900 00:00:00,A,MANAGER-I,MMI
CAN,CAN,15,01-01-1900 00:00:00,A,CAN - 2 A,CAN2A
UAE,UAE,15,01-01-1900 00:00:00,A,GCC - 2 A,GCC2A
QAT,QAT,15,01-01-1900 00:00:00,A,GCC - 2 A,GCC2A
BHR,BHR,15,01-01-1900 00:00:00,A,GCC - 2 A,GCC2A
ZAF,ZAF,15,01-01-1900 00:00:00,A,ASSISTANT MANAGER-I,AMI
THA,THA,15,01-01-1900 00:00:00,A,ASSISTANT MANAGER-I,AMI
MYS,MYS,15,01-01-1900 00:00:00,A,ASSISTANT MANAGER-I,AMI
IND,IND,150,01-01-1900 00:00:00,A,OFFICER,OFF
IND,IND,155,01-01-1900 00:00:00,A,DEVELOPMENT OFFICER II,DO - II
CAN,CAN,16,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,CANMT
IND,IND,160,01-01-1900 00:00:00,A,S3,S3
BEL,BEL,17,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,MT
BHR,BHR,17,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,MT
GBR,GBR,17,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,MT
IND,IND,170,01-01-1900 00:00:00,A,S4,S4
IND,IND,180,01-01-1900 00:00:00,A,S5,S5
IND,IND,190,01-01-1900 00:00:00,A,SENIOR SECRETARY,SRSEC
SGP,SGP,2,01-01-1900 00:00:00,A,SECRETARY,SEC
IND,CAT,20,01-01-1900 00:00:00,A,Sales Cordinator3,SC3
BEL,BEL,20,01-01-2000 00:00:00,A,UK - E3,UKE3
LKA,LKA,20,01-01-1900 00:00:00,A,SL - 1 C,SL1C
DEU,DEU,20,01-01-1900 00:00:00,A,UK - E3,UKE3
SGP,SGP,20,01-01-1900 00:00:00,A,ASSISTANT MANAGER-II,AMII
GBR,GBR,20,01-01-1900 00:00:00,A,UK - E3,UKE3
RUS,RUS,20,01-01-1900 00:00:00,A,RUS - E 3,RUSE3
LKA,LKA,20,01-02-1900 00:00:00,A,EXECUTIVE,SL1C
CHN,CHN,20,01-01-1900 00:00:00,A,ASSISTANT MANAGER-II,AMII
HKG,HKG,20,01-01-1900 00:00:00,A,ASSISTANT MANAGER-II,AMII
BGD,BGD,20,01-01-1900 00:00:00,A,ASSISTANT MANAGER-II,AMII
MYS,MYS,20,01-01-1900 00:00:00,A,ASSISTANT MANAGER-II,AMII
THA,THA,20,01-01-1900 00:00:00,A,ASSISTANT MANAGER-II,AMII
ZAF,ZAF,20,01-01-1900 00:00:00,A,ASSISTANT MANAGER-II,AMII
BHR,BHR,20,01-01-1900 00:00:00,A,GCC - 2 B,GCC2B
QAT,QAT,20,01-01-1900 00:00:00,A,GCC - 2 B,GCC2B
UAE,UAE,20,01-01-1900 00:00:00,A,GCC - 2 B,GCC2B
CAN,CAN,20,01-01-1900 00:00:00,A,CAN - 2 B,CAN2B
USA,USA,20,01-01-1900 00:00:00,A,MANAGER-II,MMII
IND,IND,20,01-01-1900 00:00:00,A,PART TIME OFFICER,PTO
IND,IND,200,01-01-1900 00:00:00,A,SENIOR OFFICER,SO
IND,IND,205,01-01-1900 00:00:00,A,SENIOR DEVELOPMENT OFFICER,SDO
IND,IND,210,01-01-1900 00:00:00,A,EXECUTIVE SECRETARY,EXSEC
IND,IND,215,01-01-1900 00:00:00,A,PROBATIONARY OFFICER,PO
IND,IND,217,02-12-2009 00:00:00,A,PROBATIONARY OFFICER-I,PO-I
IND,IND,218,01-01-1900 00:00:00,A,DMI - INTERN,INTERN
IND,IND,220,01-01-1900 00:00:00,A,ASSISTANT MANAGER-I,AMI
IND,IND,225,01-01-1900 00:00:00,A,ASSISTANT DEVELOPMENT MGR I,ADM I
IND,IND,230,01-01-1900 00:00:00,A,ASSISTANT MANAGER-II,AMII
IND,IND,235,01-01-1900 00:00:00,A,ASSISTANT DEVELOPMENT MGR II,ADM II
IND,IND,240,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,MT
IND,IND,245,01-01-1900 00:00:00,A,DEVELOPMENT MANAGER I,DM I
IND,IND,248,01-01-1900 00:00:00,A,SOFTWARE ENGINEER,SE
CHN,CHN,25,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,MT
BGD,BGD,25,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,MT
HKG,HKG,25,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,MT
SGP,SGP,25,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,MT
LKA,LKA,25,01-02-1900 00:00:00,A,ASSISTANT MANAGER,SL2A
RUS,RUS,25,01-01-1900 00:00:00,A,RUS - E 4,RUSE4
GBR,GBR,25,01-01-1900 00:00:00,A,UK - E4,UKE4
DEU,DEU,25,01-01-1900 00:00:00,A,UK - E4,UKE4
LKA,LKA,25,01-01-1900 00:00:00,A,SL - 2 A,SL2A
BEL,BEL,25,01-01-2000 00:00:00,A,UK - E4,UKE4
IND,CAT,25,01-01-1900 00:00:00,A,Senior Sales Executive,SSE
CAN,CAN,25,01-01-1900 00:00:00,A,CAN - 3 A,CAN3A
USA,USA,25,01-01-1900 00:00:00,A,CHIEF MANAGER-I,CMI
UAE,UAE,25,01-01-1900 00:00:00,A,GCC - 2 C,GCC2C
QAT,QAT,25,01-01-1900 00:00:00,A,GCC - 2 C,GCC2C
BHR,BHR,25,01-01-1900 00:00:00,A,GCC - 2 C,GCC2C
ZAF,ZAF,25,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,MT
THA,THA,25,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,MT
MYS,MYS,25,01-01-1900 00:00:00,A,MANAGEMENT TRAINEE,MT
IND,IND,250,01-01-1900 00:00:00,A,MANAGER-I,MMI
IND,IND,255,01-01-1900 00:00:00,A,DEVELOPMENT MANAGER II,DM II
IND,IND,256,01-01-1900 00:00:00,A,QA ENGINEER,QAE
IND,IND,257,01-01-1900 00:00:00,A,DevOps ENGINEER,DOE
IND,IND,258,01-01-1900 00:00:00,A,SENIOR SOFTWARE ENGINEER,SSE
IND,IND,259,01-01-1900 00:00:00,A,DATA SCIENTIST,DS
IND,IND,260,01-01-1900 00:00:00,A,MANAGER-II,MMII
IND,IND,265,01-01-1900 00:00:00,A,CHIEF DEVELOPMENT MANAGER I,CDM I
IND,IND,266,01-01-1900 00:00:00,A,SR QA ENGINEER,SRQAE
IND,IND,267,01-01-1900 00:00:00,A,SR DevOps ENGINEER,SRDOE
IND,IND,268,01-01-1900 00:00:00,A,PRINCIPAL SOFTWARE ENGINEER,PSE
IND,IND,269,01-01-1900 00:00:00,A,PRODUCT MANAGER,PM
IND,IND,270,01-01-1900 00:00:00,A,CHIEF MANAGER-I,CMI
IND,IND,275,01-01-1900 00:00:00,A,CHIEF DEVELOPMENT MANAGER II,CDM II
IND,IND,277,01-01-1900 00:00:00,A,Senior DATA SCIENTIST,SRDS
IND,IND,278,01-01-1900 00:00:00,A,CHIEF ARCHITECT,CAR
IND,IND,280,01-01-1900 00:00:00,A,CHIEF MANAGER-II,CMII
IND,IND,285,01-01-1900 00:00:00,A,ADVISOR,ADVISOR
IND,IND,288,01-01-1900 00:00:00,A,PRINCIPAL ARCHITECT,PAR
IND,IND,290,01-01-1900 00:00:00,A,ASST GENERAL MANAGER,AGM
MYS,MYS,30,01-01-1900 00:00:00,A,MANAGER-I,MMI
THA,THA,30,01-01-1900 00:00:00,A,MANAGER-I,MMI
ZAF,ZAF,30,01-01-1900 00:00:00,A,MANAGER-I,MMI
BHR,BHR,30,01-01-1900 00:00:00,A,GCC - 3 A,GCC3A
QAT,QAT,30,01-01-1900 00:00:00,A,GCC - 3 A,GCC3A
UAE,UAE,30,01-01-1900 00:00:00,A,GCC - 3 A,GCC3A
USA,USA,30,01-01-1900 00:00:00,A,CHIEF MANAGER-II,CMII
IND,IND,30,01-01-1900 00:00:00,A,JUNIOR SERVICE STAFF,JSS
CAN,CAN,30,01-01-1900 00:00:00,A,CAN - 3 B,CAN3B
LKA,LKA,30,01-02-1900 00:00:00,A,MANAGER,SL2B
CHN,CHN,30,01-01-1900 00:00:00,A,MANAGER-I,MMI
HKG,HKG,30,01-01-1900 00:00:00,A,MANAGER-I,MMI
BGD,BGD,30,01-01-1900 00:00:00,A,MANAGER-I,MMI
IND,CAT,30,01-01-1900 00:00:00,A,Business Devlpmnt Executive I,SEI
BEL,BEL,30,01-01-2000 00:00:00,A,UK - E5,UKE5
LKA,LKA,30,01-01-1900 00:00:00,A,SL - 2 B,SL2B
DEU,DEU,30,01-01-1900 00:00:00,A,UK - E5,UKE5
GBR,GBR,30,01-01-1900 00:00:00,A,UK - E5,UKE5
RUS,RUS,30,01-01-1900 00:00:00,A,RUS - E 5,RUSE5
SGP,SGP,30,01-01-1900 00:00:00,A,MANAGER-I,MMI
IND,IND,300,01-01-1900 00:00:00,A,DY GEN MANAGER,DGM
IND,IND,310,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
IND,IND,314,01-01-1900 00:00:00,A,HEAD-INNOVATION LAB,HIL
IND,IND,315,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
IND,IND,320,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
IND,IND,322,01-01-1900 00:00:00,A,SR GENERAL MANAGER - I,SGM-I
IND,IND,323,01-01-1900 00:00:00,A,SR GENERAL MANAGER - II,SGM-II
IND,IND,325,01-01-1900 00:00:00,A,GCSCO,GCSCO
IND,IND,327,01-01-1900 00:00:00,A,GROUP EXECUTIVE,GE
IND,IND,329,01-01-1900 00:00:00,A,JOINT PRESIDENT,JP
IND,IND,330,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
IND,IND,331,01-01-1900 00:00:00,A,PRESIDENT,PRESIDENT
IND,IND,332,01-01-1900 00:00:00,A,CHIEF OPERATING OFFICER - DSG,COO-D
IND,IND,333,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR (DESIGNATE),EDD
IND,IND,334,01-01-1900 00:00:00,A,ED Equivalent,EDE
IND,IND,335,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
IND,IND,337,01-01-1900 00:00:00,A,DEPUTY MANAGING DIRECTOR,DMD
IND,IND,340,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
IND,IND,341,01-01-1900 00:00:00,A,CHIEF OPERATING OFFICER,COO
IND,IND,343,01-01-1900 00:00:00,A,MD & CEO - DESIGNATE,MDCEO-D
IND,IND,345,01-01-1900 00:00:00,A,MD & CEO,MDCEO
IND,IND,347,01-01-1900 00:00:00,A,CHAIRMAN,CHAIRMAN
SGP,SGP,35,01-01-1900 00:00:00,A,MANAGER-II,MMII
RUS,RUS,35,01-01-1900 00:00:00,A,RUS - E 6,RUSE6
GBR,GBR,35,01-01-1900 00:00:00,A,UK - E6,UKE6
DEU,DEU,35,01-01-1900 00:00:00,A,UK - E6,UKE6
