SETID,SAL_ADMIN_PLAN,GRADE,EFFDT,EFF_STATUS,DESCR,DESCRSHORT
IND,RET,5,01-01-1900 00:00:00,A,RETAINER,RET
IND,IND,50,01-01-1900 00:00:00,A,SERVICE STAFF - I,SSI
CAN,CAN,50,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
QAT,QAT,50,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
UAE,UAE,50,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
MYS,MYS,50,01-01-1900 00:00:00,A,ASST GENERAL MANAGER,AGM
THA,THA,50,01-01-1900 00:00:00,A,ASST GENERAL MANAGER,AGM
ZAF,ZAF,50,01-01-1900 00:00:00,A,ASST GENERAL MANAGER,AGM
BHR,BHR,50,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
USA,USA,50,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
SGP,SGP,50,01-01-1900 00:00:00,A,ASST GENERAL MANAGER,AGM
BGD,BGD,50,01-01-1900 00:00:00,A,ASST GENERAL MANAGER,AGM
GBR,GBR,50,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
RUS,RUS,50,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
BEL,BEL,50,01-01-2000 00:00:00,A,JGM,JGM
LKA,LKA,50,01-01-1900 00:00:00,A,DY GEN MANAGER,DGM
DEU,DEU,50,01-01-1900 00:00:00,A,JGM,JGM
CHN,CHN,50,01-01-1900 00:00:00,A,ASST GENERAL MANAGER,AGM
HKG,HKG,50,01-01-1900 00:00:00,A,ASST GENERAL MANAGER,AGM
HKG,HKG,55,01-01-1900 00:00:00,A,DY GEN MANAGER,DGM
CHN,CHN,55,01-01-1900 00:00:00,A,DY GEN MANAGER,DGM
DEU,DEU,55,01-01-1900 00:00:00,A,GM,GM
LKA,LKA,55,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
BEL,BEL,55,01-01-2000 00:00:00,A,GM,GM
RUS,RUS,55,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
GBR,GBR,55,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
BGD,BGD,55,01-01-1900 00:00:00,A,DY GEN MANAGER,DGM
SGP,SGP,55,01-01-1900 00:00:00,A,DY GEN MANAGER,DGM
USA,USA,55,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
BHR,BHR,55,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
ZAF,ZAF,55,01-01-1900 00:00:00,A,DY GEN MANAGER,DGM
THA,THA,55,01-01-1900 00:00:00,A,DY GEN MANAGER,DGM
MYS,MYS,55,01-01-1900 00:00:00,A,DY GEN MANAGER,DGM
UAE,UAE,55,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
QAT,QAT,55,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
CAN,CAN,55,01-01-1900 00:00:00,A,SR GENERAL MANAGER - I,SGM-I
CHN,CHN,6,01-01-1900 00:00:00,A,Retainer,RET
CHN,CHN,60,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
HKG,HKG,60,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
USA,USA,60,01-01-1900 00:00:00,A,GCSCO,GCSCO
SGP,SGP,60,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
BGD,BGD,60,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
GBR,GBR,60,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM-I
RUS,RUS,60,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
BEL,BEL,60,01-01-2000 00:00:00,A,SGM,SGM
LKA,LKA,60,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
DEU,DEU,60,01-01-1900 00:00:00,A,SGM,SGM
CAN,CAN,60,01-01-1900 00:00:00,A,GCSCO,GCSCO
IND,IND,60,01-01-1900 00:00:00,A,SERVICE STAFF - II,SSII
QAT,QAT,60,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
